date,country,city,activeUsers,newUsers
2024-04-01,United States,New York,4,4
2024-04-02,United States,New York,1,0
2024-04-04,United States,New York,2,0
2024-04-05,United States,New York,3,1
2024-04-06,United States,New York,4,0
2024-04-06,United States,Ashburn,3,3
2024-04-06,United States,Philadelphia,1,0
2024-04-07,United States,New York,4,0
2024-04-08,United States,New York,2,0
2024-04-09,Japan,Ota City,1,1
2024-04-09,United States,New York,2,0
2024-04-10,United States,New York,1,0
2024-04-11,United States,New York,3,0
2024-04-12,United States,New York,2,4
2024-04-13,United States,Ashburn,6,6
2024-04-13,United States,New York,3,0
2024-04-14,United States,Ashburn,2,2
2024-04-14,United States,Boston,1,0
2024-04-14,United States,New York,8,4
2024-04-15,United States,New York,3,0
2024-04-15,United States,Philadelphia,1,0
2024-04-16,United States,Ashburn,4,4
2024-04-16,Germany,(not set),1,1
2024-04-16,United States,New York,5,1
2024-04-17,United States,Ashburn,1,1
2024-04-17,United States,New York,6,1
2024-04-18,United States,New York,3,1
2024-04-19,United States,New York,2,0
2024-04-19,Japan,Iwaizumi,1,1
2024-04-19,United States,Philadelphia,1,0
2024-04-21,Japan,Saitama,1,1
2024-04-22,United States,New York,1,0
2024-04-24,United States,(not set),2,2
2024-04-25,United States,New York,1,0
2024-04-26,United States,Newark,1,0
2024-04-27,United States,New York,1,0
2024-04-29,United States,New Haven,1,0
2024-04-29,Japan,Mihara,1,1
2024-04-29,United States,Wallingford,1,1
2024-05-04,United States,(not set),2,2
2024-05-04,Japan,Chiyoda City,1,1
2024-05-05,United States,New York,1,1
2024-05-06,United States,New York,1,1
2024-05-07,United States,Stanford,1,1
2024-05-07,United States,(not set),2,2
2024-05-09,United States,New York,1,1
2024-05-09,Brazil,Brasilia,1,1
2024-05-10,United States,Hamburg,1,1
2024-05-10,United States,New York,1,1
2024-05-11,Canada,Toronto,1,1
2024-05-12,United States,New York,1,1
2024-05-15,China,Shanghai,1,1
2024-05-15,Canada,Burnaby,1,1
2024-05-18,United States,(not set),1,1
2024-05-18,United States,Abbeville,1,1
2024-05-18,United States,New York,1,0
2024-05-18,United States,Salt Lake City,1,1
2024-05-20,Japan,Yokohama,1,1
2024-05-24,United States,Chicago,1,1
2024-05-26,United States,Houston,1,1
2024-05-27,United States,(not set),2,2
2024-05-27,United States,Rochester,1,1
2024-05-28,China,(not set),4,4
2024-05-28,United States,(not set),2,2
2024-05-28,United States,Durham,2,2
2024-05-28,United States,University City,2,2
2024-05-30,United States,(not set),2,2
2024-05-30,United States,Durham,2,2
2024-05-30,United States,Ashburn,1,1
2024-05-30,United States,Chapel Hill,1,0
2024-05-30,United States,Prescott,1,1
2024-05-31,United States,Keene,1,0
2024-05-31,United States,Grand Ledge,1,1
2024-06-01,Japan,Kakegawa,1,1
2024-06-01,Japan,Shinagawa City,1,1
2024-06-02,United States,New York,1,0
2024-06-04,United States,Chicago,1,1
2024-06-05,United States,Palo Alto,1,1
2024-06-07,United Kingdom,London,1,1
2024-06-07,Japan,Minato City,1,1
2024-06-07,Japan,Hirakata,1,1
2024-06-07,United States,New York,1,1
2024-06-09,United States,Boston,1,1
2024-06-09,Japan,Minato City,1,1
2024-06-09,United States,New York,1,0
2024-06-10,United States,Ashburn,1,1
2024-06-10,United States,Las Vegas,1,1
2024-06-10,Japan,Chuo City,1,1
2024-06-10,China,Shanghai,1,1
2024-06-11,United States,New York,1,1
2024-06-12,United States,Chicago,1,1
