time,country,city,device,newUsers,page,fileName,linkUrl
2025-01-25 05:04:00,Singapore,Singapore,mobile (SM-S918B),New,/,,
2025-01-26 02:11:00,Japan,,mobile,New,/,,
2025-01-26 02:15:00,Japan,,mobile,Return,/research/,,
2025-01-26 02:15:00,Japan,,mobile,Return,/,,
2025-01-26 02:15:00,Japan,,mobile,Return,/ja/,,
2025-01-26 02:16:00,Japan,,mobile,Return,/ja/,,
2025-01-27 09:06:00,United States,New York,desktop,Return,/,/cv/cv.pdf,
2025-01-27 09:06:00,United States,New York,desktop,New,/,,
2025-01-27 09:17:00,United States,New York,desktop,Return,/,,
2025-01-27 14:46:00,United States,Mission Viejo,desktop,New,/,,
2025-01-27 14:46:00,United States,Mission Viejo,desktop,Return,/,/cv/cv.pdf,
2025-01-27 14:47:00,United States,Mission Viejo,desktop,Return,/,,
2025-01-28 08:28:00,United States,San Jose,desktop,Return,/,/cv/cv.pdf,
2025-01-28 08:28:00,United States,San Jose,desktop,New,/,,
2025-01-28 09:07:00,United States,San Jose,desktop,Return,/,,
2025-01-31 13:28:00,United States,San Jose,desktop,Return,/,/cv/cv.pdf,
2025-01-31 13:28:00,United States,San Jose,desktop,New,/,,
2025-01-31 16:17:00,United States,Hanover,desktop,New,/,,
2025-01-31 16:17:00,United States,Hanover,desktop,Return,/,/cv/cv.pdf,
2025-01-31 16:18:00,United States,Hanover,desktop,Return,/,,
2025-02-01 02:02:00,Japan,,mobile (motorola razr 50),New,/ja/,,
2025-02-01 02:02:00,Japan,,mobile (motorola razr 50),Return,/,,
2025-02-01 02:02:00,Japan,,mobile (motorola razr 50),Return,/research/,,
2025-02-01 02:20:00,Singapore,Singapore,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-01 02:20:00,Singapore,Singapore,desktop,Return,/research/,,
2025-02-01 02:20:00,Singapore,Singapore,desktop,New,/,,
2025-02-01 02:22:00,Singapore,Singapore,desktop,Return,/research/,,
2025-02-01 02:22:00,Singapore,Singapore,desktop,Return,/,/cv/cv.pdf,
2025-02-01 02:27:00,Singapore,Singapore,desktop,Return,/,,
2025-02-01 11:08:00,United States,Killington,desktop,New,/,,
2025-02-01 21:13:00,Japan,Minato City,mobile (SO-52B),New,/,,
2025-02-01 21:13:00,Japan,Minato City,mobile (SO-52B),Return,/,/cv/cv.pdf,
2025-02-02 11:54:00,United States,New York,mobile,New,/,,
2025-02-02 11:55:00,United States,New York,mobile,Return,/,,
2025-02-02 11:55:00,United States,New York,mobile,Return,/research/,,
2025-02-02 11:55:00,United States,New York,mobile,Return,/,/cv/cv.pdf,
2025-02-03 10:50:00,United States,San Jose,desktop,Return,/,,
2025-02-03 16:39:00,Switzerland,Zurich,desktop,New,/,,
2025-02-03 18:58:00,United States,New York,mobile,New,/,,
2025-02-04 00:49:00,United States,,mobile,New,/,,
2025-02-04 11:00:00,Japan,Ota City,tablet,New,/,,
2025-02-04 11:03:00,Japan,Ota City,tablet,Return,/,/cv/cv.pdf,
