date,country,city,landingPagePlusQueryString,activeUsers,newUsers
2024-04-01,United States,New York,(not set),1,0
2024-04-01,United States,New York,/,4,3
2024-04-01,United States,New York,/research/,2,1
2024-04-02,United States,New York,/,1,0
2024-04-04,United States,New York,/,2,0
2024-04-05,United States,New York,/,3,1
2024-04-06,United States,Ashburn,/44caf85b-12b0-42de-8801-ef0078b3fb21,1,1
2024-04-06,United States,Philadelphia,/,1,0
2024-04-06,United States,New York,/,4,0
2024-04-06,United States,Ashburn,/,2,2
2024-04-07,United States,New York,/,4,0
2024-04-08,United States,New York,/,2,0
2024-04-09,Japan,Ota City,/,1,1
2024-04-09,United States,New York,(not set),1,0
2024-04-09,United States,New York,/,2,0
2024-04-10,United States,New York,/,1,0
2024-04-11,United States,New York,/,3,0
2024-04-12,United States,New York,/,2,4
2024-04-13,United States,New York,/,3,0
2024-04-13,United States,Ashburn,/,4,4
2024-04-13,United States,Ashburn,/0be9b9b0-4453-432b-a2ec-56d73381d04b,1,1
2024-04-13,United States,Ashburn,/research/,1,1
2024-04-14,United States,Ashburn,/,2,2
2024-04-14,United States,New York,/research/,1,0
2024-04-14,United States,New York,/public/,1,1
2024-04-14,United States,Boston,/research/,1,0
2024-04-14,United States,New York,/,7,3
2024-04-14,United States,New York,/blog/,1,0
2024-04-15,United States,New York,/,3,0
2024-04-15,United States,Philadelphia,/,1,0
2024-04-16,United States,New York,/,5,1
2024-04-16,United States,Ashburn,/ja/japanese/,3,3
2024-04-16,Germany,(not set),/,1,1
2024-04-16,United States,Ashburn,/ja/japanese/5544961e-a755-4c66-b4e2-8e3468df6ff8,1,1
2024-04-17,United States,Ashburn,/ja/,1,1
2024-04-17,United States,New York,(not set),1,0
2024-04-17,United States,New York,/public/index.html,1,0
2024-04-17,United States,New York,/ja/japanese/,1,0
2024-04-17,United States,New York,/,4,0
2024-04-17,United States,New York,/404,1,1
2024-04-18,United States,New York,/ja/,2,0
2024-04-18,United States,New York,/,2,0
2024-04-18,United States,New York,/ja/?_x_tr_sl=ja&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,1,1
2024-04-19,United States,New York,/,2,0
2024-04-19,Japan,Iwaizumi,/ja/,1,1
2024-04-19,United States,Philadelphia,(not set),1,0
2024-04-21,Japan,Saitama,/ja/,1,1
2024-04-22,United States,New York,/,1,0
2024-04-24,United States,(not set),/,2,2
2024-04-25,United States,New York,/,1,0
2024-04-26,United States,Newark,/,1,0
2024-04-27,United States,New York,/,1,0
2024-04-29,United States,New Haven,(not set),1,0
2024-04-29,Japan,Mihara,/ja/,1,1
2024-04-29,United States,Wallingford,/,1,1
2024-05-04,Japan,Chiyoda City,/blog/松野-舜介/,1,1
2024-05-04,United States,(not set),/,2,2
2024-05-05,United States,New York,/,1,1
2024-05-06,United States,New York,/,1,1
2024-05-07,United States,Stanford,/,1,1
2024-05-07,United States,Stanford,(not set),1,0
2024-05-07,United States,(not set),/,2,2
2024-05-09,Brazil,Brasilia,/,1,1
2024-05-09,United States,New York,/,1,1
2024-05-10,United States,Hamburg,/,1,1
2024-05-10,United States,New York,/,1,1
2024-05-11,Canada,Toronto,/,1,1
2024-05-12,United States,New York,/,1,1
2024-05-15,Canada,Burnaby,/,1,1
2024-05-15,China,Shanghai,/,1,1
2024-05-18,United States,(not set),/,1,1
2024-05-18,United States,Abbeville,/,1,1
2024-05-18,United States,New York,/,1,0
2024-05-18,United States,Salt Lake City,/research/,1,1
2024-05-20,Japan,Yokohama,/,1,1
2024-05-24,United States,Chicago,/,1,1
2024-05-26,United States,Houston,/,1,1
2024-05-27,United States,(not set),/,2,2
2024-05-27,United States,Rochester,/,1,1
2024-05-28,China,(not set),/,4,4
2024-05-28,United States,(not set),/,2,2
2024-05-28,United States,Durham,/,2,2
2024-05-28,United States,University City,/research/,2,2
2024-05-30,United States,Ashburn,/,1,1
2024-05-30,United States,(not set),/,2,2
2024-05-30,United States,Durham,/,2,2
2024-05-30,United States,Prescott,/,1,1
2024-05-30,United States,Chapel Hill,/,1,0
2024-05-31,United States,Keene,/research/,1,0
2024-05-31,United States,Grand Ledge,/research/,1,1
2024-06-01,Japan,Shinagawa City,/ja/,1,1
2024-06-01,Japan,Kakegawa,/research/,1,1
2024-06-02,United States,New York,/,1,0
2024-06-04,United States,Chicago,/research/,1,1
2024-06-05,United States,Palo Alto,/,1,1
2024-06-07,Japan,Hirakata,/research/,1,1
2024-06-07,United Kingdom,London,/,1,1
2024-06-07,United States,New York,/,1,1
2024-06-07,Japan,Minato City,/,1,1
2024-06-09,United States,Boston,/research/,1,0
2024-06-09,United States,Boston,/,1,1
2024-06-09,Japan,Minato City,/,1,1
2024-06-09,United States,New York,/research/,1,0
2024-06-10,United States,Las Vegas,/,1,1
2024-06-10,United States,Ashburn,/,1,1
2024-06-10,Japan,Chuo City,/ja/,1,1
2024-06-10,China,Shanghai,/,1,1
2024-06-11,United States,New York,/,1,1
2024-06-12,United States,Chicago,/,1,1
2024-06-12,United States,Chicago,(not set),1,0
2024-06-15,Japan,Bunkyo City,/,1,1
2024-06-16,Japan,(not set),/ja/,1,1
2024-06-16,United States,New York,/,1,0
2024-06-17,Japan,Chuo City,/ja/,1,0
2024-06-17,China,Nanjing,/research/,1,1
2024-06-17,(not set),(not set),/,2,2
2024-06-18,United States,Houston,/,1,1
2024-06-19,Taiwan,(not set),/research/,1,1
2024-06-23,United Kingdom,Birmingham,/,1,1
2024-06-23,United States,New York,/,1,0
2024-06-24,Italy,Naples,/,1,1
2024-06-25,United States,Los Angeles,/,1,1
2024-07-02,Japan,(not set),/,1,1
2024-07-03,United States,New York,/,1,0
2024-07-03,United States,Schnecksville,/,1,1
